1	project_name	token_symbol	url
1438	Kryptomon	KMON	kryptomon	
1439	Tadpole Finance	TAD	tadpole-finance	
1440	Neural Protocol	NRP	neural-protocol	
1441	BlackHat	BLKC	blackhat	
1442	Bitcoin Plus	XBC	bitcoin-plus	
1443	Göztepe S.K. Fan Token	GOZ	goztepe-sk-fantoken	
1444	Bismuth	BIS	bismuth	
1445	Cryptonovae	YAE	cryptonovae	
1446	Iconic Token	ICNQ	iconic-token	
1447	Insured Finance	INFI	insured-finance	
1448	Zerogoki USD	zUSD	zerogoki-usd	
1449	Swace	SWACE	swace	
1450	Sumokoin	SUMO	sumokoin	
1451	QuadrantProtocol	EQUAD	quadrantprotocol	
1452	Stake DAO	SDT	stake-dao	
1453	Rocket Vault-RocketX	RVF	rocket-vault-rocketx	
1454	Filecash	FIC	filecash	
1455	ILCOIN	ILC	ilcoin	
1456	Amon	AMN	amon	
1457	Netbox Coin	NBX	netbox-coin	
1458	EarnX	EARNX	earnx	
1459	Denarius	D	denarius-d	
1460	Gem Exchange And Trading	GXT	gem-exchange-and-trading	
1461	$LONDON	LONDON	london	
1462	CHADS VC	CHADS	chads-vc	
1463	Universidad de Chile Fan Token	UCH	universidad-de-chile-fan-token	
1464	Genesis Shards	GS	genesis-shards	
1465	Bitgear	GEAR	bitgear	
1466	Parachute	PAR	parachute	
1467	WinStars.live	WNL	winstars-live	
1468	ODUWA	OWC	oduwa	
1469	I	O Coin	IOC	iocoin	
1470	Kineko	KKO	kineko	
1471	CryptoFranc	XCHF	cryptofranc	
1472	BondAppétit Governance Token	BAG	bondappetit-governance-token	
1473	DEEPSPACE	DPS	deepspace	
1474	e-Gulden	EFL	e-gulden	
1475	1X2 COIN	1X2	1x2-coin	
1476	HiCoin	XHI	hicoin	
1477	YOU COIN	YOU	you-coin	
1478	Playcent	PCNT	playcent	
1479	Loser Coin	LOWB	loser-coin	
1480	OKCash	OK	okcash	
1481	0xBitcoin	0xBTC	0xbtc	
1482	AICHAIN	AIT	aichain	
1483	SureRemit	RMT	sureremit	
1484	RigoBlock	GRG	rigoblock	
1485	Doki Doki Finance	DOKI	doki-doki-finance	
1486	Natus Vincere Fan Token	NAVI	natus-vincere-fan-token	
1487	DMM: Governance	DMG	dmm-governance	
1488	LINKA	LINKA	linka	
1489	xSigma	SIG	xsigma	
1490	Bean Cash	BITB	bean-cash	
1491	HaloDAO	RNBW	halodao	
1492	Waves Community Token	WCT	waves-community-token	
1493	X8X Token	X8X	x8x-token	
1494	Cappasity	CAPP	cappasity	
1495	Ideaology	IDEA	ideaology	
1496	PolkaWar	PWAR	polkawar	
1497	PlayFuel	PLF	playfuel	
1498	Pancake Bunny	BUNNY	pancakebunny	
1499	NeuroChain	NCC	neurochain	
1500	Cornichon	CORN	cornichon	
1501	Tripio	TRIO	tripio	
1502	Multiplier	MXX	multiplier	
1503	Signature Chain	SIGN	signature-chain	
1504	SINOVATE	SIN	sinovate	
1505	Dimecoin	DIME	dimecoin	
1506	Relite Finance	RELI	relite-finance	
1507	EOS TRUST	EOST	eos-trust	
1508	Honest	HNST	honest	
1509	Curecoin	CURE	curecoin	
1510	Aluna.Social	ALN	aluna-social	
1511	Mcashchain	MCASH	mcashchain	
1512	PERI Finance	PERI	peri-finance	
1513	Young Boys Fan Token	YBO	young-boys-fan-token	
1514	VestChain	VEST	vestchain	
1515	Xaurum	XAUR	xaurum	
1516	BeatzCoin	BTZC	beatzcoin	
1517	ETNA Network	ETNA	etna-network	
1518	Phore	PHR	phore	
1519	Fera	FERA	fera	
1520	Squirrel Finance	NUTS	squirrel-finance	
1521	Kuai Token	KT	kuai-token	
1522	B-cube.ai	BCUBE	b-cube-ai	
1523	Vipstar Coin	VIPS	vipstar-coin	
1524	Aitra	AITRA	aitra	
1525	TurtleNetwork	TN	turtlenetwork	
1526	Chonk	CHONK	chonk	
1527	Blockchain Cuties Universe Governance	BCUG	blockchain-cuties-universe	
1528	Robust Token	RBT	robust-protocol	
1529	τBitcoin	ΤBTC	t-bitcoin	
1530	MenaPay	MPAY	menapay	
1531	Medicalchain	MTN	medical-chain	
1532	FujiCoin	FJC	fujicoin	
1533	REVIVAL	RVL	revival	
1534	CannabisCoin	CANN	cannabiscoin	
1535	eXPerience Chain	XPC	experience-chain	
1536	VeriCoin	VRC	vericoin	
1537	Ravencoin Classic	RVC	ravencoin-classic	
1538	Evedo	EVED	evedo	
1539	Berry Data	BRY	berry-data	
1540	The ChampCoin	TCC	the-champcoin	
1541	Omni	OMNI	omni	
1542	TokenPay	TPAY	tokenpay	
1543	BiShares	BISON	bishares	
1544	MoonTrust	MNTT	moontrust	
1545	SparkPoint Fuel	SFUEL	sparkpoint-fuel	
1546	FairGame	FAIR	fairgame	
1547	ZClassic	ZCL	zclassic	
1548	Titan Coin	TTN	titan-coin	
1549	W Green Pay	WGP	w-green-pay	
1550	Skrumble Network	SKM	skrumble-network	
1551	adbank	ADB	adbank	
1552	Falconswap	FSW	fsw-token	
1553	Antiample	XAMP	antiample	
1554	Polkalokr	LKR	polkalokr	
1555	GAPS	GAP	gaps	
1556	Nexalt	XLT	nexalt	
1557	Venus BCH	vBCH	venus-bch	
1558	ETHA Lend	ETHA	etha-lend	
1559	OptionRoom	ROOM	optionroom	
1560	Machi X	MCX	machix	
1561	BitcoinPoS	BPS	bitcoinpos	
1562	Professional Fighters League Fan Token	PFL	professional-fighters-league-fan-token	
1563	Bata	BTA	bata	
1564	HodlTree	HTRE	hodltree	
1565	CryptoTycoon	CTT	cryptotycoon	
1566	Scry.info	DDD	scryinfo	
1567	Perth Mint Gold Token	PMGT	perth-mint-gold-token	
1568	AFEN Blockchain	AFEN	afen-blockchain	
1569	disBalancer	DDOS	disbalancer	
1570	Zebi Token	ZEBI	zebi-token	
1571	Bitswift	BITS	bitswift	
1572	Ixcoin	IXC	ixcoin	
1573	Pepemon Pepeballs	PPBLZ	pepemon-pepeballs	
1574	VNT Chain	VNT	vnt-chain	
1575	Lendefi	LDFI	lendefi	
1576	PayPie	PPP	paypie	
1577	TopBidder	BID	topbidder	
1578	Skyrim Finance	SKYRIM	skyrim-finance	
1579	AidCoin	AID	aidcoin	
1580	SpectrumCash	XSM	spectrumcash	
1581	Crown	CRW	crown	
1582	BitTube	TUBE	bit-tube	
1583	Meeb Master	MEEB	meeb-master	
1584	TouchCon	TOC	touchcon	
1585	Wolf Safe Poor People	WSPP	wolf-safe-poor-people	
1586	PANTHEON X	XPN	pantheon-x	
1587	HeroFi	HEROEGG	herofi	
1588	Sharder	SS	sharder	
1589	Dacxi	DACXI	dacxi	
1590	Isiklar Coin	ISIKC	isiklar-coin	
1591	Grumpy.finance	GRUMPY	grumpy-finance	
1592	PIXEL	PXL	pixel	
1593	Alliance Fan Token	ALL	alliance-fan-token	
1594	Beacon	BECN	beacon	
1595	YEE	YEE	yee	
1596	Moneytoken	IMT	moneytoken	
1597	Subme	SUB	subme	
1598	Jarvis Network	JRT	jarvis-network	
1599	ZUSD	ZUSD	zusd	
1600	Lobstex	LOBS	lobstex	
1601	MonetaryUnit	MUE	monetaryunit	
1602	Aryacoin	AYA	aryacoin	
1603	Enigma	ENG	enigma	
1604	ParkinGo	GOT	parkingo	
1605	SOTA Finance	SOTA	sota-finance	
1606	DAOventures	DVD	daoventures	
1607	Pivot Token	PVT	pivot-token	
1608	PieDAO DEFI++	DEFI++	piedao-defi	
1609	Patron	PAT	patron	
1610	Nuggets	NUG	nuggets	
1611	Jarvis+	JAR	jarvis	
1612	KanadeCoin	KNDC	kanadecoin	
1613	Katalyo	KTLYO	katalyo	
1614	StrongHands	SHND	stronghands	
1615	Tolar	TOL	tolar	
1616	DAV Coin	DAV	dav-coin	
1617	BitDegree	BDG	bitdegree	
1618	2key.network	2KEY	2key-network	
1619	Decentralized Vulnerability Platform	DVP	decentralized-vulnerability-platform	
1620	Pawtocol	UPI	pawtocol	
1621	Veil	VEIL	veil	
1622	Hydro	HYDRO	hydro	
1623	Heart Number	HTN	heartnumber	
1624	TradeStars	TSX	tradestars	
1625	XcelToken Plus	XLAB	xceltoken-plus	
1626	Catex Token	CATT	catex-token	
1627	AMATEN	AMA	amaten	
1628	CryptEx	CRX	cryptex	
1629	FintruX Network	FTX	fintrux-network	
1630	GokuMarket Credit	GMC	gokumarket-credit	
1631	Yield Protocol	YIELD	yield-protocol	
1632	Phoenixcoin	PXC	phoenixcoin	
1633	HOMIHELP	HOMI	homihelp	
1634	DeHive	DHV	dehive	
1635	BonFi	BNF	bonfi	
1636	Famcentral	FAM	famcentral	
1637	Acute Angle Cloud	AAC	acute-angle-cloud	
1638	UGAS	UGAS	ugas	
1639	Shield Protocol	SHIELD	shield-protocol	
1640	Karbo	KRB	karbo	
1641	FYDcoin	FYD	fydcoin	
1642	Bitcoin Atom	BCA	bitcoin-atom	
1643	Mochi Market	MOMA	mochi-market	
1644	Tidex Token	TDX	tidex-token	
1645	Remme	REM	remme	
1646	Phoenix Token	PHX	phoenix-token	
1647	SHPING	SHPING	shping	
1648	Buying.com	WBUY	buying-com	
1649	Humaniq	HMQ	humaniq	
1650	bAlpha	BALPHA	balpha	
1651	Hashgard	GARD	hashgard	
1652	DAPS Coin	DAPS	daps-coin	
1653	Unicly Aavegotchi Astronauts Collection	UGOTCHI	unicly-aavegotchi-astronauts-collection	
1654	SafeMoon Inu	SMI	safemoon-inu	
1655	Furucombo	COMBO	furucombo	
1656	StakedZEN	STZEN	stakedzen	
1657	Pigeoncoin	PGN	pigeoncoin	
1658	ZrCoin	ZRC	zrcoin	
1659	Coreto	COR	coreto	
1660	Kwikswap Protocol	KWIK	kwikswap	
1661	iEthereum	IETH	iethereum	
1662	PEPS Coin	PEPS	peps-coin	
1663	Yellow Road	ROAD	yellow-road	
1664	Collateral Pay	COLL	collateral-pay	
1665	Defis Network	DFS	defis-network	
1666	BonusCloud	BXC	bonuscloud	
1667	BitGreen	BITG	bitgreen	
1668	eosDAC	EOSDAC	eosdac	
1669	Mochimo	MCM	mochimo	
1670	Xensor	XSR	xensor	
1671	Global Cryptocurrency	GCC	global-cryptocurrency	
1672	Club Atletico Independiente	CAI	club-atletico-independiente	
1673	Ceres	CERES	ceres	
1674	keyTango	TANGO	keytango	
1675	Auxilium	AUX	auxilium	
1676	Nerva	XNV	nerva	
1677	Font	FONT	font	
1678	MobileGo	MGO	mobilego	
1679	StakerDAO	STKR	stakerdao	
1680	MyWish	WISH	mywish	
1681	Pylon Finance	PYLON	pylon-finance	
1682	LanaCoin	LANA	lanacoin	
1683	Naka Bodhi Token	NBOT	naka-bodhi-token	
1684	Kangal	KANGAL	kangal	
1685	Lethean	LTHN	lethean	
1686	Wrapped Gen-0 CryptoKitties	WG0	wrapped-gen-0-cryptokitties	
1687	BitScreener Token	BITX	bitscreener-token	
1688	Oikos	OKS	oikos	
1689	xRhodium	XRC	xrhodium	
1690	Node Runners	NDR	node-runners	
1691	Dragon Coins	DRG	dragon-coins	
1692	Cajutel	CAJ	cajutel	
1693	Ethereum Meta	ETHM	ethereum-meta	
1694	Patientory	PTOY	patientory	
1695	Alphr finance	ALPHR	alphr-finance	
1696	LocalCoinSwap	LCS	local-coin-swap	
1697	Bob's Repair	BOB	bobs-repair	
1698	Beaxy	BXY	beaxy	
1699	Nework	NKC	nework	
1700	WeOwn	CHX	we-own	
1701	Xiotri	XIOT	xiotri	
1702	Trollcoin	TROLL	trollcoin	
1703	HollyGold	HGOLD	hollygold	
1704	Content Neutrality Network	CNN	content-neutrality-network	
1705	Vox.Finance	VOX	vox-finance	
1706	CryptoTask	CTASK	cryptotask	
1707	MoonTools	MOONS	moontools	
1708	Internxt	INXT	internxt	
1709	Bitcoin Confidential	BC	bitcoin-confidential	
1710	CoTrader	COT	cotrader	
1711	SonoCoin	SONO	sonocoin	
1712	PUBLISH	NEWS	publish	
1713	Coinsbit Token	CNB	coinsbit-token	
1714	QChi	QCH	qchi	
1715	Pascal	PASC	pascal	
1716	NIX	NIX	nix	
1717	Indorse Token	IND	indorse-token	
1718	TENT	TENT	tent	
1719	Silver Stonks	SSTX	silver-stonks	
1720	JustBet	WINR	justbet	
1721	VIG	VIG	vig	
1722	DexKit	KIT	dexkit	
1723	yTSLA Finance	yTSLA	ytsla-finance	
1724	OLXA	OLXA	olxa	
1725	Pizza	PIZZA	pizza	
1726	KeyFi	KEYFI	keyfi	
1727	BitCapitalVendor	BCV	bitcapitalvendor	
1728	UniFarm	UFARM	unifarm	
1729	Ducato Protocol Token	DUCATO	ducato-protocol-token	
1730	Nsure.Network	NSURE	nsure-network	
1731	GamyFi Platform	GFX	gamyfi-platform	
1732	Warp Finance	WARP	warp-finance	
1733	Maincoin	MNC	maincoin	
1734	Posscoin	POSS	posscoin	
1735	Ubex	UBEX	ubex	
1736	Streamity	STM	streamity	
1737	Tapmydata	TAP	tapmydata	
1738	ChatCoin	CHAT	chatcoin	
1739	DDKoin	DDK	ddkoin	
1740	Masari	MSR	masari	
1741	Rise	RISE	rise	
1742	Bezant	BZNT	bezant	
1743	BUZZCoin	BUZZ	buzzcoin	
1744	ESBC	ESBC	esbc	
1745	DMarket	DMT	dmarket	
1746	Delphy	DPY	delphy	
1747	Vid	VI	vid	
1748	Lepricon	L3P	lepricon	
1749	İstanbul Başakşehir Fan Token	IBFK	istanbul-basaksehir-fan-token	
1750	AudioCoin	ADC	audiocoin	
1751	ORAO Network	ORAO	orao-network	
1752	PHI Token	PHI	phi-token	
1753	Primas	PST	primas	
1754	Rage Fan	RAGE	rage-fan	
1755	ZENZO	ZNZ	zenzo	
1756	VegaWallet Token	VGW	vegawallet-token	
1757	TrumpCoin	TRUMP	trumpcoin	
1758	Expanse	EXP	expanse	
1759	Blue Whale EXchange	BWX	blue-whale-exchange	
1760	Carboncoin	CARBON	carboncoin	
1761	Team Vitality Fan Token	VIT	team-vitality-fan-token	
1762	reflect.finance	RFI	reflect-finance	
1763	TotemFi	TOTM	totemfi	
1764	LUXCoin	LUX	luxcoin	
1765	Omnitude	ECOM	omnitude	
1766	Snetwork	SNET	snetwork	
1767	BabyUSDT	BABYUSDT	babyusdt	
1768	Dether	DTH	dether	
1769	KIWIGO	KGO	kiwigo	
1770	PolkaDomain	NAME	polkadomain	
1771	Polinate	POLI	polinate	
1772	HEAT	HEAT	heat-ledger	
1773	DFSocial Gaming	DFSOCIAL	defisocial-gaming	
1774	Minereum	MNE	minereum	
1775	Smoothy	SMTY	smoothy	
1776	AI Doctor	AIDOC	aidoc	
1777	GoWithMi	GMAT	gowithmi	
1778	SONM (BEP-20)	SNM	sonm-bep20	
1779	CoinUs	CNUS	coinus	
1780	Origin Sport	ORS	origin-sport	
1781	Donut	DONUT	donut	
1782	IXT	IXT	ixledger	
1783	Banca	BANCA	banca	
1784	ExclusiveCoin	EXCL	exclusivecoin	
1785	Krios	GIG	krios	
1786	Zen Protocol	ZP	zen-protocol	
1787	Blue Protocol	BLUE	ethereum-blue	
1788	Fountain	FTN	fountain	
1789	KamPay	KAMPAY	kampay	
1790	Legia Warsaw Fan Token	LEG	legia-warsaw-fan-token	
1791	Libertas Token	LIBERTAS	libertas-token	
1792	Digital Insurance Token	DIT	digital-insurance-token	
1793	Infinity Esaham	INFS	infinity-esaham	
1794	AtromG8	AG8	atromg8	
1795	FlypMe	FYP	flypme	
1796	0xcert	ZXC	0xcert	
1797	Primalbase Token	PBT	primalbase	
1798	Insula	ISLA	insula	
1799	AstroTools	ASTRO	astrotools	
1800	Teloscoin	TELOS	teloscoin	
1801	Golos Blockchain	GLS	golos-blockchain	
1802	Secure Pad	SEPA	secure-pad-token	
1803	Fluity	FLTY	fluity	
1804	Crypton	CRP	utopia	
1805	Curio	CUR	curio	
1806	KoHo Chain	KHC	koho-chain	
1807	Azuki	AZUKI	azuki	
1808	NFTify	N1	nftify	
1809	Typhoon Network	TYPH	typhoon-network	
1810	Upfiring	UFR	upfiring	
1811	8PAY	8PAY	8pay	
1812	BarterTrade	BART	bartertrade	
1813	DATx	DATX	datx	
1814	Motocoin	MOTO	motocoin	
1815	SOAR.FI	SOAR	soar-fi	
1816	SmileyCoin	SMLY	smileycoin	
1817	BlitzPick	XBP	blitzpredict	
1818	SophiaTX	SPHTX	sophiatx	
1819	MAX Exchange Token	MAX	max-exchange-token	
1820	Hush	HUSH	hush	
1821	DACSEE	DACS	dacsee	
1822	HOQU	HQX	hoqu	
1823	Wolves of Wall Street	WOWS	wolves-of-wall-street	
1824	PirateCash	PIRATE	piratecash	
1825	Woodcoin	LOG	woodcoin	
1826	Centric Swap	CNS	centric-swap	
1827	Team Heretics Fan Token	TH	team-heretics-fan-token	
1828	MintMe.com Coin	MINTME	mintme-com-coin	
1829	FansTime	FTI	fanstime	
1830	NEXT	NEXT	next-coin	
1831	Base Protocol	BASE	base-protocol	
1832	Datum	DAT	datum	
1833	Orbitcoin	ORB	orbitcoin	
1834	Ethverse	ETHV	ethverse	
1835	Manna	MANNA	manna	
1836	Golden Goose	GOLD	golden-goose	
1837	IntelliShare	INE	intellishare	
1838	2local	2LC	2local	
1839	iDealCash	DEAL	idealcash	
1840	Power Index Pool Token	PIPT	power-index-pool-token	
1841	Paybswap	PAYB	paybswap	
1842	8X8 PROTOCOL	EXE	8x8-protocol	
1843	WeTrust	TRST	trust	
1844	Azbit	AZ	azbit	
1845	Royale Finance	ROYA	royale-finance	
1846	CryptoBonusMiles	CBM	cryptobonusmiles	
1847	Arqma	ARQ	arqma	
1848	PetroDollar	XPD	petrodollar	
1849	QANplatform	QANX	qanplatform	
1850	Debitum	DEB	debitum-network	
1851	Kuende	KUE	kuende	
1852	PiplCoin	PIPL	piplcoin	
1853	Ethereum Gold	ETG	ethereum-gold	
1854	REAL	REAL	real	
1855	Bottos	BTO	bottos	
1856	POLKARARE	PRARE	polkarare	
1857	VikkyToken	VIKKY	vikkytoken	
1858	ByteNext	BNU	bytenext	
1859	MONK	MONK	monk	
1860	QUINADS	QUIN	quinads	
1861	BITTO	BITTO	bitto	
1862	GlobalBoost-Y	BSTY	globalboost-y	
1863	Add.xyz	ADD	add-xyz	
1864	NuShares	NSR	nushares	
1865	Playkey	PKT	playkey	
1866	Qwertycoin	QWC	qwertycoin	
1867	Typerium	TYPE	typerium	
1868	DPRating	RATING	dprating	
1869	CREA	CREA	crea	
1870	Hertz Network	HTZ	hertz-network	
1871	Interlude	ISH	interlude	
1872	Etherparty	FUEL	etherparty	
1873	WXCOINS	WXC	wxcoins	
1874	renDOGE	RENDOGE	rendoge	
1875	Friendz	FDZ	friends	
1876	Sharpay	S	sharpay	
1877	Internet of People	IOP	internet-of-people	
1878	SIBCoin	SIB	sibcoin	
1879	Limitless VIP	VIP	limitless-vip	
1880	Zero Utility Token	ZUT	zero-utility-token	
1881	TigerCash	TCH	tigercash	
1882	Ethereum Stake	ETHYS	ethereum-stake	
1883	Tap	XTP	tap	
1884	LYNC Network	LYNC	lync-network	
1885	ACoconut	AC	acoconut	
1886	extraDNA	XDNA	extradna	
1887	1Million Token	1MT	1million-token	
1888	KIMCHI.finance	KIMCHI	kimchi-finance	
1889	Electrify.Asia	ELEC	electrifyasia	
1890	DoYourTip	DYT	doyourtip	
1891	Smartshare	SSP	smartshare	
1892	IHT Real Estate Protocol	IHT	iht-real-estate-protocol	
1893	DomRaider	DRT	domraider	
1894	GoldenPyrex	GPYX	goldenpyrex	
1895	Ink Protocol	XNK	ink-protocol	
1896	MEET.ONE	MEETONE	meetone	
1897	TOKPIE	TKP	tokpie	
1898	BlueCoin	BLU	bluecoin	
1899	OracleChain	OCT	oraclechain	
1900	MotaCoin	MOTA	motacoin	
1901	Matryx	MTX	matryx	
1902	Vidulum	VDL	vidulum	
1903	Eureka Coin	ERK	eureka-coin	
1904	NativeCoin	N8V	native-coin	
1905	Spaceswap MILK2	MILK2	spaceswap	
1906	Ormeus Ecosystem	ECO	ormeus-ecosystem	
1907	Ritocoin	RITO	ritocoin	
1908	Iridium	IRD	iridium	
1909	KnoxFS (new)	KFX	knoxfs-new	
1910	MicroBitcoin	MBC	microbitcoin	
1911	Yearn Secure	YSEC	yearn-secure	
1912	STK	STK	stk	
1913	Gems 	GEM	gems-protocol	
1914	Seigniorage Shares	SHARE	seigniorage-shares	
1915	Equal	EQL	equal	
1916	Earnbase	ENB	earnbase	
1917	Decentralized Machine Learning	DML	decentralized-machine-learning	
1918	Winco	WCO	winco	
1919	Ethereum Yield	ETHY	ethereum-yield	
1920	OWNDATA	OWN	owndata	
1921	Polar	POLARV3	polar	
1922	Pakcoin	PAK	pakcoin	
1923	Po.et	POE	poet	
1924	Jetcoin	JET	jetcoin	
1925	PTON	PTON	pton	
1926	CoinFi	COFI	coinfi	
1927	OneRoot Network	RNT	oneroot-network	
1928	ChartEx	CHART	chartex	
1929	HashBX	HBX	hashsbx	
1930	Stipend	SPD	stipend	
1931	Gourmet Galaxy	GUM	gourmet-galaxy	
1932	Lunyr	LUN	lunyr	
1933	GoByte	GBX	gobyte	
1934	EchoLink	EKO	echolink	
1935	Zennies	ZENI	zennies	
1936	Wrapped Basic CryptoKitties	WCK	wrapped-cryptokitties	
1937	RED	RED	red	
1938	CryptoAds Marketplace	CRAD	cryptoads-marketplace	
1939	Rublix	RBLX	rublix	
1940	Save Environment Token	SET	save-environment-token	
1941	NeoWorld Cash	NASH	neoworld-cash	
1942	DEJAVE	DJV	dejave	
1943	CoinDeal Token	CDL	coindeal-token	
1944	EventChain	EVC	eventchain	
1945	SafeBlast	BLAST	safeblast	
1946	x42 Protocol	X42	x42-protocol	
1947	DogeCash	DOGEC	dogecash	
1948	Lightstreams	PHT	lightstreams	
1949	PWR Coin	PWR	powercoin	
1950	Tendies	TEND	tendies	
1951	ShipChain	SHIP	shipchain	
1952	Qbao	QBT	qbao	
1953	LunchMoney	LMY	lunchmoney	
1954	ATLANT	ATL	atlant	
1955	Crypto Sports	CSPN	crypto-sports	
1956	Pylon Network	PYLNT	pylon-network	
1957	Modern Investment Coin	MODIC	modern-investment-coin	
1958	FLIP	FLP	flip	
1959	Sether	SETH	sether	
1960	Kommunitas	KOM	kommunitas	
1961	Rate3	RTE	rate3	
1962	Bobo Cash	BOBO	bobo-cash	
1963	uPlexa	UPX	uplexa	
1964	Arbidex	ABX	arbidex	
1965	Starbase	STAR	starbase	
1966	EDC Blockchain	EDC	edc-blockchain	
1967	Synergy	SNRG	synergy	
1968	Kobocoin	KOBO	kobocoin	
1969	Zeepin	ZPT	zeepin	
1970	BiblePay	BBP	biblepay	
1971	Zetacoin	ZET	zetacoin	
1972	Sessia	KICKS	sessia	
1973	Asch	XAS	asch	
1974	Alphacat	ACAT	alphacat	
1975	Eternity	ENT	eternity	
1976	CustomContractNetwork	CCN	customcontractnetwork	
1977	XTRABYTES	XBY	xtrabytes	
1978	MIB Coin	MIB	mib-coin	
1979	ION	ION	ion	
1980	Project Inverse	XIV	project-inverse	
1981	HYCON	HYC	hycon	
1982	CUE Protocol	CUE	cue-protocol	
1983	Sportcash One	SCONEX	sportcash-one	
1984	Spectre.ai Utility Token	SXUT	spectre-utility	
1985	PutinCoin	PUT	putincoin	
1986	Novara Calcio Fan Token	NOV	novara-calcio-fan-token	
1987	MODEL-X-coin	MODX	model-x-coin	
1988	Blockmason Credit Protocol	BCPT	blockmason	
1989	MMOCoin	MMO	mmocoin	
1990	Bezop	BEZ	bezop	
1991	TrueDeck	TDP	truedeck	
1992	Freicoin	FRC	freicoin	
1993	The Corgi of PolkaBridge	CORGIB	the-corgi-of-polkabridge	
1994	Thisoption	TONS	thisoption	
1995	Nuco.cloud	NCDT	nuco-cloud	
1996	FuzeX	FXT	fuzex	
1997	AquariusCoin	ARCO	aquariuscoin	
1998	Renewable Electronic Energy Coin	REEC	electronic-energy-coin	
1999	HelloGold	HGT	hellogold	
2000	Fundamenta	FMTA	fundamenta	
2001	Swarm City	SWT	swarm-city	
2002	TrezarCoin	TZC	trezarcoin	
2003	Advanced Technology Coin	ARC	arcticcoin	
2004	Trinity Network Credit	TNC	trinity-network-credit	
2005	Method Finance	MTHD	method-finance	
2006	Datamine	DAM	datamine	
2007	PengolinCoin	PGO	pengolincoin	
2008	PlayGame	PXG	playgame	
2009	Wrapped Virgin Gen-0 CryptoKitties	WVG0	wrapped-virgin-gen-0-cryptokitties	
2010	Terracoin	TRC	terracoin	
2011	Tornado	TCORE	tornado	
2012	Spaceswap SHAKE	SHAKE	shake	
2013	COVA	COVA	cova	
2014	xBTC	xBTC	xbtc	
2015	RMPL	RMPL	rmpl	
2016	Rapidz	RPZX	rapidz	
2017	ETHERLAND	ELAND	etherland	
2018	Startcoin	START	startcoin	
2019	HashCoin	HSC	hashcoin	
2020	Bitgesell	BGL	bitgesell	
2021	InterValue	INVE	intervalue	
2022	Netko	NETKO	netko	
2023	Cryptonite	XCN	cryptonite	
2024	DECENT	DCT	decent	
2025	Keep4r	KP4R	keep4r	
2026	Swap	XWP	swap	
2027	GoldMint	MNTP	goldmint	
2028	Alpha Token	A	alpha-token	
2029	DopeCoin	DOPE	dopecoin	
2030	Rotten	ROT	rotten	
2031	HyperExchange	HX	hyperexchange	
2032	ChronoBase	TIK	chronobase	
2033	Beer Money	BEER	beer-money	
2034	MetaMorph	METM	metamorph	
2035	Fyooz	FYZ	fyooz	
2036	Clash Token	SCT	clash-token	
2037	NFX Coin	NFXC	nfx-coin	
2038	Elysian	ELY	elysian	
2039	YVS.Finance	YVS	yvs-finance	
2040	DeFinition	DZI	definition	
2041	Solaris	XLR	solaris	
2042	Coinsuper Ecosystem Network	CEN	coinsuper-ecosystem-network	
2043	Ubricoin	UBN	ubricoin	
2044	fyeth.finance	YETH	fyeth-finance	
2045	Ink	INK	ink	
2046	Digitalcoin	DGC	digitalcoin	
2047	FUD.finance	FUD	fudfinance	
2048	Dogeswap	DOGES	dogeswap	
2049	Swing	SWING	swing	
2050	nYFI	N0031	nyfi	
2051	MU DANK	DANK	mu-dank	
2052	Hyperion	HYN	hyperion	
2053	Shadow Token	SHDW	shadow-token	
2054	Color Platform	CLR	color-platform	
2055	Scorum Coins	SCR	scorum-coins	
2056	Widercoin	WDR	widercoin	
2057	EveryCoin 	EVY	everycoin	
2058	Rope	$ROPE	rope	
2059	SingularDTV	SNGLS	singulardtv	
2060	MesChain	MES	meschain	
2061	Zeusshield	ZSC	zeusshield	
2062	Graft	GRFT	graft	
2063	Savix	SVX	savix	
2064	Xion Finance	XGT	xion-finance	
2065	Cubiex	CBIX	cubiex	
2066	InsaneCoin	INSN	insanecoin-insn	
2067	Yocoin	YOC	yocoin	
2068	Rentberry	BERRY	rentberry	
2069	IONChain	IONC	ionchain	
2070	AllSafe	ASAFE	allsafe	
2071	BSCView	BSCV	bscview	
2072	Precium	PCM	precium	
2073	Kingdom Game 4.0	KDG	kingdom-game-4	
2074	Rivetz	RVT	rivetz	
2075	Blockburn	BURN	blockburn	
2076	Unicly Doki Doki Collection	UDOKI	unicly-doki-doki-collection	
2077	BoutsPro	BOUTS	boutspro	
2078	SolarCoin	SLR	solarcoin	
2079	TagCoin	TAG	tagcoin	
2080	VouchForMe	IPL	insurepal	
2081	Megacoin	MEC	megacoin	
2082	DecentBet	DBET	decent-bet	
2083	MyBit	MYB	mybit	
2084	Cat Token	CAT	cat-token	
2085	Stobox Token	STBU	stobox-token	
2086	UpToken	UP	uptoken	
2087	Unicly Chris McCann Collection	UCM	unicly-chris-mccann-collection	
2088	Zilla	ZLA	zilla	
2089	CROAT	CROAT	croat	
2090	Escroco Emerald	ESCE	escroco-emerald	
2091	BackPacker Coin	BPC	backpacker-coin	
2092	MoonRadar	MRF	moonradar	
2093	Decentralized Crypto Token	DCTO	decentralized-crypto-token	
2094	HeroNode	HER	heronode	
2095	PoSW Coin	POSW	posw-coin	
2096	2GIVE	2GIVE	2give	
